id,created_at,text
1427641055881699338,2021-08-17 14:38:46,Il est temps qu’un système pancanadien pour les services d’apprentissage et de garde des jeunes enfants voit le jour. Découvrez en direct les détails de notre plan pour que des services de garde à 10 $ par jour deviennent une réalité pour tous : https://t.co/R6Kon30hGI
1427396065083498500,2021-08-16 22:25:16,"We will create one million jobs, offer subsidies to businesses to help pay their rents and workers’ salaries, compensate theatres for their losses, and extend insurance coverage for affected media production. #ForwardForEveryone https://t.co/mSYMgOrGlD"
1427396045378629638,2021-08-16 22:25:11,"Nous allons créer un million d’emplois, offrir des subventions aux entreprises pour les aider à payer les loyers et salaires de leurs travailleurs, compenser les pertes des salles de spectacles et prolonger la couverture d'assurance pour les tournages arrêtés. #AvançonsEnsemble https://t.co/G38yClsdWp"
1427344086789509122,2021-08-16 18:58:43,This is a pivotal moment. I’m focused on the path forward — for everyone. https://t.co/T5PsdtsQoN
1427344024738967560,2021-08-16 18:58:28,On vit un moment historique. Vous aurez l’occasion de choisir la suite pour notre pays. https://t.co/kKHx33r1Kc
1427308759592865796,2021-08-16 16:38:21,"RT @liberal_party: Canadian businesses power our economy, and their workers drive our communities. We will continue supporting the hardest-…"
1427308724486615041,2021-08-16 16:38:12,"RT @parti_liberal: Les entreprises canadiennes font croître notre économie, et leurs travailleurs en sont le moteur. Nous continuerons de s…"
1427289501391523848,2021-08-16 15:21:49,Small businesses are at the heart of our communities and are the backbone of our economy — and we’ve got a plan to help hard-hit businesses deal with the impacts of COVID-19. Tune in now for the details: https://t.co/iX7Veg1UBC
1427289488921870341,2021-08-16 15:21:46,Les petites entreprises sont au cœur de nos communautés et font croître notre économie. Nous avons un plan pour aider les entreprises qui ont été les plus touchées par la COVID-19. Joignez-vous à nous pour en savoir plus : https://t.co/NwdGKDQd2a
1427245744579354628,2021-08-16 12:27:57,"RT @liberal_party: Let’s keep working to make things better — and leave no one behind.

#ForwardForEveryone https://t.co/Fg27JVoNhY"
1427084984888791041,2021-08-16 01:49:09,"Home team strong! 

I got into politics to help people, like the hardworking families here in Papineau. We’ve accomplished a lot together over the years, and there’s much more work ahead. https://t.co/xyiwTOAmce"
1427084952156450816,2021-08-16 01:49:01,"Une équipe locale forte!

Je me suis lancé en politique pour aider les gens, comme les familles travaillantes dans Papineau. On a accompli beaucoup de choses ensemble au fil des ans, mais il reste encore beaucoup à faire. https://t.co/060gxwPWRy"
1427014189202264065,2021-08-15 21:07:50,"Let’s do this!

Meet the team: https://t.co/nJiHCUJBe9 https://t.co/1qsy9eSUY6"
1427014152627834886,2021-08-15 21:07:41,"C’est parti!

Rencontrez l’équipe : https://t.co/KZWyF6PkXU https://t.co/1YhAS1J3WQ"
1427008665362616320,2021-08-15 20:45:53,RT @liberal_party: Forward. For everyone. https://t.co/1LmKGdO2z6
1427008606751363077,2021-08-15 20:45:39,RT @parti_liberal: Avançons ensemble. https://t.co/VVn3Ob4cxU
1426973485423857664,2021-08-15 18:26:05,"We’ve had your back, and now it’s time to hear your voice. You need to choose how we finish the fight against COVID-19 and build back better. That’s what #elxn44 is about."
1426973465056272385,2021-08-15 18:26:00,Nous avons été là pour vous et c’est maintenant le moment de vous écouter. À vous de décider comment nous devons en finir avec la COVID-19 et rebâtir un Canada encore plus fort. C’est ça #elxn44
1426955293011943430,2021-08-15 17:13:48,"This election is about the Canada we all want to build and the future we all want to see. Watch live:
🇨🇦
Cette élection porte sur le Canada qu’on veut tous bâtir et sur l’avenir auquel on aspire tous. Diffusion en direct : https://t.co/kHRPz9rQNF"
1426925763878600704,2021-08-15 15:16:27,"As we rebuild from a once-in-a-century crisis, this is our generation’s time to take action and change things for the better. Watch live from Rideau Hall: https://t.co/g39HyOX2xM"
1426925700573958144,2021-08-15 15:16:12,"Alors qu’on reconstruit le pays à la suite d’une crise sans précédent, c’est le moment pour notre génération d’agir et de changer les choses pour le mieux. Diffusion en direct de Rideau Hall : https://t.co/8bK8L2EAqk"
1426892308117602309,2021-08-15 13:03:31,"Acadians have always shown extraordinary resilience and perseverance - and they have long made exceptional contributions to our country. Today, we celebrate that - as well as Acadian culture, heritage, and traditions. Happy National Acadian Day, everyone! https://t.co/EK5EDAcUCX"
1426892286160523264,2021-08-15 13:03:26,"Les Acadiens ont toujours eu une résilience et persévérance inouïes et ont fait des contributions exceptionnelles à notre pays. Aujourd’hui, on célèbre cela ainsi que leur culture, leur patrimoine et leurs traditions. Bonne Fête nationale des Acadiens! https://t.co/2PyBf1Yzhu"
1426877977275600898,2021-08-15 12:06:34,"More than 1.4 million people of Indian descent call Canada home - making valuable contributions to our country and helping us build a stronger future. Today, we join them and the people of India as they celebrate India’s Independence Day. https://t.co/hQMNRvM2SB"
1426877959328120833,2021-08-15 12:06:30,"Plus de 1,4 M de gens d’origine indienne ont fait du Canada leur pays. Ils contribuent beaucoup à notre pays et nous aident à bâtir un avenir meilleur. Aujourd’hui, nous célébrons avec eux et le peuple de l’Inde le Jour de l’indépendance de l’Inde. https://t.co/eo0JaAQvHV"
1426863146510266370,2021-08-15 11:07:38,Korean communities across Canada and around the world are celebrating South Korea’s independence and accomplishments today - and I’m sending them my best wishes. Please read my full statement on the National Liberation Day of Korea: https://t.co/ZzqVaH3EsJ
1426863121092784130,2021-08-15 11:07:32,"Les communautés coréennes au Canada et ailleurs dans le monde célèbrent aujourd’hui l’indépendance et les réalisations de la Corée du Sud, et je leur offre mes meilleurs vœux. Pour lire ma déclaration sur le Jour national de libération de la Corée : https://t.co/V7nQ5HlNJy"
1426701656469688322,2021-08-15 00:25:56,"RT @liberal_party: Let’s think even bigger, Canada. 

Let’s be relentless. 

Let’s keep moving forward. For everyone.

#ForwardForEveryone…"
1426701595425841152,2021-08-15 00:25:41,"RT @parti_liberal: C’est en étant solidaires qu’on accomplit de grandes choses.

#AvançonsEnsemble https://t.co/3ypKp4Pp62"
1426618031724273664,2021-08-14 18:53:38,"In case you missed it: We’ve signed agreements with Newfoundland and Labrador, Prince Edward Island, Yukon, Northwest Territories, and British Columbia to improve long-term care and make sure your loved ones are safe. More on our Safe Long-Term Care Fund: https://t.co/VIagziSdvl"
1426618009821515793,2021-08-14 18:53:33,"Au cas où vous l’avez manqué : Nous avons signé une entente avec T.N.-L., l’Î.-P.-É., le Yukon, les T.N.-O. et la C.-B. pour améliorer les soins de longue durée et protéger vos proches. Détails sur le Fonds pour la sécurité des soins de longue durée : https://t.co/WesD4Ikbij"
1426600019898011657,2021-08-14 17:42:04,"Update: We’ve reached an agreement with Moderna for additional supply of its COVID-19 vaccine for 2022 and 2023, with an option to extend into 2024. This agreement guarantees access to 40 million doses - and has options that provide access to up to 65 million more."
1426599999429808144,2021-08-14 17:41:59,"Nouvelle : Nous avons conclu une entente avec Moderna qui nous garantit l’obtention de 40 millions de doses supplémentaires de son vaccin contre la COVID-19 en 2022 et en 2023, avec la possibilité de prolonger les livraisons en 2024 et d’obtenir 65 millions de doses en plus."
1426581565673508864,2021-08-14 16:28:44,"Canadians are thinking of everyone affected by the devastating earthquake in Haiti. Our hearts go out to those who have lost loved ones, and those who have been injured - and we’re standing ready to provide assistance in any way we can."
1426581542994862081,2021-08-14 16:28:39,Toutes les personnes touchées par le tremblement de terre dévastateur en Haïti sont dans les pensées des Canadiens. Nous sommes de tout cœur avec ceux qui ont perdu des proches et ceux qui sont blessés et nous sommes prêts à apporter notre aide de toutes les façons possibles.
1426532319549132802,2021-08-14 13:13:03,"Today, we join Pakistani Canadians - who have enriched our national fabric for generations - and people around the world as they celebrate Pakistan’s Independence Day. May the connections between our two countries continue to grow. https://t.co/crSing9XvG"
